PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic
chr12	29343991	29344286	PE_1_of_1_in_NM_016570.3_intron_2_0_chr12_29343283_r	NMD_in	ERGIC2	ERGIC2, CDA14, PTX1	chr12	29343282	29345442	NM_016570.3_intron_2_0_chr12_29343283_r	612236	NA	NA	NA	NA
chr12	41017146	41017259	PE_1_of_1_in_NM_001843.4_intron_18_0_chr12_41016917_f	NMD_in	CNTN1	CNTN1, MYPCN	chr12	41016916	41020336	NM_001843.4_intron_18_0_chr12_41016917_f	600016	?Myopathy, congenital, Compton-North, 612540 (3), Autosomal recessive	NA	NA	NA
chr12	42210548	42210619	PE_1_of_1_in_NM_005748.6_intron_1_0_chr12_42161766_r	NMD_in	YAF2	YAF2	chr12	42161765	42237598	NM_005748.6_intron_1_0_chr12_42161766_r	607534	NA	NA	NA	NA
chr12	44754404	44754547	PE_1_of_1_in_NM_001145108.2_intron_10_0_chr12_44714742_r	NMD_in	NELL2	NELL2	chr12	44714741	44774746	NM_001145108.2_intron_10_0_chr12_44714742_r	602320	NA	NA	NA	NA
chr12	44808256	44808425	PE_1_of_1_in_NM_001145108.2_intron_16_0_chr12_44780023_r	NMD_in	NELL2	NELL2	chr12	44780022	44815985	NM_001145108.2_intron_16_0_chr12_44780023_r	602320	NA	NA	NA	NA
chr12	45956027	45956193	PE_1_of_1_in_NM_004719.3_intron_11_0_chr12_45951728_r	NMD_in	SCAF11	SCAF11, SFRS2IP, SIP1, CASP11, SRRP129	chr12	45951727	45961699	NM_004719.3_intron_11_0_chr12_45951728_r	603668	NA	NA	NA	NA
chr12	47814738	47814794	PE_1_of_1_in_NM_015401.5_intron_24_0_chr12_47802275_r	NMD_in	HDAC7	HDAC7A, HDAC7	chr12	47802274	47819766	NM_015401.5_intron_24_0_chr12_47802275_r	606542	NA	NA	NA	NA
chr12	47965141	47965165	PE_1_of_1_in_NM_001143842.2_intron_1_0_chr12_47964424_f	NMD_in	TMEM106C	NA	chr12	47964423	47965281	NM_001143842.2_intron_1_0_chr12_47964424_f	NA	NA	NA	NA	NA
chr12	48089163	48089293	PE_1_of_1_in_NM_001267594.2_intron_13_0_chr12_48088961_r	NMD_in	SENP1	SENP1	chr12	48088960	48096342	NM_001267594.2_intron_13_0_chr12_48088961_r	612157	NA	Rare Single Gene Mutation	3	0
chr12	49658251	49658335	PE_1_of_1_in_NM_175736.5_intron_19_0_chr12_49657191_r	NMD_in	FMNL3	FMNL3, FRL2	chr12	49657190	49658441	NM_175736.5_intron_19_0_chr12_49657191_r	616288	NA	NA	NA	NA
chr12	49962994	49963075	PE_1_of_1_in_NM_001651.4_intron_0_0_chr12_49962381_f	NMD_in	AQP5	AQP5, PPKB	chr12	49962380	49963491	NM_001651.4_intron_0_0_chr12_49962381_f	600442	Palmoplantar keratoderma, Bothnian type, 600231 (3), Autosomal dominant	NA	NA	NA
chr12	50185390	50185448	PE_1_of_1_in_NM_016357.5_intron_1_0_chr12_50182038_r	NMD_in	LIMA1	LIMA1, EPLIN, SREBP3, LDLCQ8	chr12	50182037	50192451	NM_016357.5_intron_1_0_chr12_50182038_r	608364	[Low density lipoprotein cholesterol level QTL 8], 618079 (3)	NA	NA	NA
chr12	50659309	50659468	PE_1_of_1_in_NM_173602.3_intron_2_0_chr12_50640853_f	NMD_in	DIP2B	DIP2B, KIAA1463	chr12	50640852	50660193	NM_173602.3_intron_2_0_chr12_50640853_f	611379	Intellectual developmental disorder, autosomal dominant, FRA12A type, 136630 (3), Autosomal dominant	NA	NA	NA
chr12	51688758	51688849	PE_1_of_1_in_NM_001330260.2_intron_4_0_chr12_51687220_f	NMD_in	SCN8A	SCN8A, CIAT, DEE13, BFIS5, MYOCL2	chr12	51687219	51689004	NM_001330260.2_intron_4_0_chr12_51687220_f	600702	?Myoclonus, familial, 2, 618364 (3), Autosomal dominant; Seizures, benign familial infantile, 5, 617080 (3), Autosomal dominant; Cognitive impairment with or without cerebellar ataxia, 614306 (3), Autosomal dominant; Developmental and epileptic encephalopathy 13, 614558 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0
chr12	51780202	51780271	PE_1_of_1_in_NM_001330260.2_intron_19_0_chr12_51774363_f	NMD_in	SCN8A	SCN8A, CIAT, DEE13, BFIS5, MYOCL2	chr12	51774362	51780648	NM_001330260.2_intron_19_0_chr12_51774363_f	600702	?Myoclonus, familial, 2, 618364 (3), Autosomal dominant; Seizures, benign familial infantile, 5, 617080 (3), Autosomal dominant; Cognitive impairment with or without cerebellar ataxia, 614306 (3), Autosomal dominant; Developmental and epileptic encephalopathy 13, 614558 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0
chr12	53056505	53056739	PE_1_of_1_in_NM_170754.4_intron_9_0_chr12_53055846_f	NMD_in	TNS2	TNS2, TENC1, C1TEN, KIAA1075	chr12	53055845	53057012	NM_170754.4_intron_9_0_chr12_53055846_f	607717	NA	Rare Single Gene Mutation	3	0
chr12	53598281	53598362	PE_1_of_1_in_NM_006856.3_intron_9_0_chr12_53552638_r	NMD_in	ATF7	ATF7	chr12	53552637	53600952	NM_006856.3_intron_9_0_chr12_53552638_r	606371	NA	NA	NA	NA
chr12	54511323	54511391	PE_1_of_1_in_NM_005337.5_intron_6_0_chr12_54509986_f	NMD_in	NCKAP1L	NCKAP1L, HEM1, IMD72	chr12	54509985	54511802	NM_005337.5_intron_6_0_chr12_54509986_f	141180	Immunodeficiency 72 with autoinflammation, 618982 (3), Autosomal recessive	NA	NA	NA
chr12	55815886	55815938	PE_1_of_1_in_NM_033082.4_intron_9_0_chr12_55803729_r	NMD_in	SARNP	SARNP, CIP29, HCC1, HSPC316	chr12	55803728	55817665	NM_033082.4_intron_9_0_chr12_55803729_r	610049	NA	NA	NA	NA
chr12	56022683	56022719	PE_1_of_1_in_NM_022465.4_intron_0_0_chr12_56021581_f	NMD_in	IKZF4	IKZF4, ZNFN1A4, EOS, KIAA1782	chr12	56021580	56023670	NM_022465.4_intron_0_0_chr12_56021581_f	606239	NA	NA	NA	NA
chr12	56023889	56023963	PE_1_of_1_in_NM_022465.4_intron_1_0_chr12_56023765_f	NMD_in	IKZF4	IKZF4, ZNFN1A4, EOS, KIAA1782	chr12	56023764	56025053	NM_022465.4_intron_1_0_chr12_56023765_f	606239	NA	NA	NA	NA
chr12	56158901	56158919	PE_1_of_1_in_NM_021019.5_intron_1_0_chr12_56158712_f	NMD_in	MYL6	MYL6	chr12	56158711	56159586	NM_021019.5_intron_1_0_chr12_56158712_f	609931	NA	NA	NA	NA
chr12	57271554	57271660	PE_1_of_1_in_NM_001394031.1_intron_9_0_chr12_57269995_r	NMD_in	R3HDM2	NA	chr12	57269994	57280357	NM_001394031.1_intron_9_0_chr12_57269995_r	NA	NA	NA	NA	NA
chr12	57516138	57516157	PE_1_of_1_in_NM_004990.4_intron_18_0_chr12_57515992_f	NMD_in	MARS1	MARS1, MARS, MTRNS, METRS, ILLD, CMT2U, TTD9	chr12	57515991	57516244	NM_004990.4_intron_18_0_chr12_57515992_f	156560	Interstitial lung and liver disease, 615486 (3), Autosomal recessive; ?Trichothiodystrophy 9, nonphotosensitive, 619692 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2U, 616280 (3), Autosomal dominant	NA	NA	NA
chr12	57556463	57556642	PE_1_of_1_in_NM_004984.4_intron_0_0_chr12_57550401_f	NMD_in	KIF5A	KIF5A, NKHC, SPG10, NEIMY, ALS25	chr12	57550400	57563438	NM_004984.4_intron_0_0_chr12_57550401_f	602821	Myoclonus, intractable, neonatal, 617235 (3), Autosomal dominant; {Amyotrophic lateral sclerosis, susceptibility to, 25}, 617921 (3), Autosomal dominant; Spastic paraplegia 10, autosomal dominant, 604187 (3), Autosomal dominant	NA	NA	NA
chr12	57591732	57591825	PE_1_of_1_in_NM_024779.5_intron_0_0_chr12_57591464_f	NMD_in	PIP4K2C	PIP4K2C, PIP5K2C	chr12	57591463	57594024	NM_024779.5_intron_0_0_chr12_57591464_f	617104	NA	NA	NA	NA
chr12	61720686	61720923	PE_1_of_1_in_NM_178539.5_intron_0_0_chr12_61710418_r	NMD_in	TAFA2	FAM19A2, TAFA2	chr12	61710417	61753621	NM_178539.5_intron_0_0_chr12_61710418_r	617496	NA	NA	NA	NA
chr12	64091892	64091925	PE_1_of_1_in_NM_020762.4_intron_11_0_chr12_64091379_f	NMD_in	SRGAP1	SRGAP1, KIAA1304, NMTC2	chr12	64091378	64094931	NM_020762.4_intron_11_0_chr12_64091379_f	606523	{Thyroid cancer, nonmedullary, 2}, 188470 (3), Somatic mutation, Autosomal dominant	NA	NA	NA
chr12	65373309	65373477	PE_1_of_1_in_NM_001031679.3_intron_4_0_chr12_65369027_f	NMD_in	MSRB3	MSRB3, DFNB74	chr12	65369026	65453727	NM_001031679.3_intron_4_0_chr12_65369027_f	613719	Deafness, autosomal recessive 74, 613718 (3), Autosomal recessive	NA	NA	NA
chr12	68650632	68650843	PE_1_of_1_in_NM_001010942.3_intron_2_0_chr12_68650469_f	NMD_in	RAP1B	RAP1B	chr12	68650468	68651994	NM_001010942.3_intron_2_0_chr12_68650469_f	179530	NA	NA	NA	NA
chr12	69262640	69262712	PE_1_of_1_in_NM_007007.3_intron_8_0_chr12_69262563_f	NMD_in	CPSF6	CPSF6, CFIM	chr12	69262562	69269511	NM_007007.3_intron_8_0_chr12_69262563_f	604979	NA	NA	NA	NA
chr12	70294236	70294293	PE_1_of_1_in_NM_014515.7_intron_1_0_chr12_70278275_f	NMD_in	CNOT2	CNOT2, NOT2, IDNADFS	chr12	70278274	70310894	NM_014515.7_intron_1_0_chr12_70278275_f	604909	Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies, 618608 (3), Autosomal dominant	NA	NA	NA
chr12	70336728	70336973	PE_1_of_1_in_NM_014515.7_intron_7_0_chr12_70335564_f	NMD_in	CNOT2	CNOT2, NOT2, IDNADFS	chr12	70335563	70337388	NM_014515.7_intron_7_0_chr12_70335564_f	604909	Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies, 618608 (3), Autosomal dominant	NA	NA	NA
chr12	70337755	70337819	PE_1_of_1_in_NM_014515.7_intron_8_0_chr12_70337514_f	NMD_in	CNOT2	CNOT2, NOT2, IDNADFS	chr12	70337513	70338442	NM_014515.7_intron_8_0_chr12_70337514_f	604909	Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies, 618608 (3), Autosomal dominant	NA	NA	NA
chr12	71613700	71613810	PE_1_of_1_in_NM_144982.5_intron_4_0_chr12_71613436_r	NMD_in	ZFC3H1	NA	chr12	71613435	71614534	NM_144982.5_intron_4_0_chr12_71613436_r	NA	NA	NA	NA	NA
chr12	71840700	71840728	PE_1_of_1_in_NM_001146213.3_intron_0_0_chr12_71839812_f	NMD_in	TBC1D15	TBC1D15	chr12	71839811	71872069	NM_001146213.3_intron_0_0_chr12_71839812_f	612662	NA	NA	NA	NA
chr12	76049429	76049524	PE_1_of_1_in_NM_004537.7_intron_1_0_chr12_76049251_r	NMD_in	NAP1L1	NAP1L1, NAP1L	chr12	76049250	76049755	NM_004537.7_intron_1_0_chr12_76049251_r	164060	NA	NA	NA	NA
chr12	76422510	76422564	PE_1_of_1_in_NM_020841.5_intron_19_0_chr12_76410635_r	NMD_in	OSBPL8	OSBPL8, ORP8, KIAA1451	chr12	76410634	76450850	NM_020841.5_intron_19_0_chr12_76410635_r	606736	NA	NA	NA	NA
chr12	76821057	76821166	PE_1_of_1_in_NM_015336.4_intron_6_0_chr12_76816020_f	NMD_in	ZDHHC17	ZDHHC17, HIP14	chr12	76816019	76822405	NM_015336.4_intron_6_0_chr12_76816020_f	607799	NA	NA	NA	NA
chr12	77044245	77044268	PE_1_of_1_in_NM_203394.3_intron_6_0_chr12_77043200_r	NMD_in	E2F7	E2F7	chr12	77043199	77044636	NM_203394.3_intron_6_0_chr12_77043200_r	612046	NA	NA	NA	NA
chr12	80848098	80848174	PE_1_of_1_in_NM_004664.4_intron_2_0_chr12_80845940_r	NMD_in	LIN7A	LIN7A, VELI1, MALS1	chr12	80845939	80848250	NM_004664.4_intron_2_0_chr12_80845940_r	603380	NA	NA	NA	NA
chr12	83125032	83125221	PE_1_of_1_in_NM_152588.3_intron_10_0_chr12_83061832_f	NMD_in	TMTC2	TMTC2	chr12	83061831	83132209	NM_152588.3_intron_10_0_chr12_83061832_f	615856	NA	NA	NA	NA
chr12	89460015	89460037	PE_1_of_1_in_NM_172240.3_intron_2_0_chr12_89459719_r	NMD_in	POC1B	POC1B, PIX1, CORD20	chr12	89459718	89466769	NM_172240.3_intron_2_0_chr12_89459719_r	614784	Cone-rod dystrophy 20, 615973 (3), Autosomal recessive	NA	NA	NA
chr12	95256549	95256621	PE_1_of_1_in_NM_017599.4_intron_1_0_chr12_95252072_f	NMD_in	VEZT	VEZT	chr12	95252071	95257149	NM_017599.4_intron_1_0_chr12_95252072_f	619749	NA	NA	NA	NA
chr12	95487637	95487658	PE_1_of_1_in_NM_006838.4_intron_3_0_chr12_95485982_f	NMD_in	METAP2	METAP2, p67	chr12	95485981	95494055	NM_006838.4_intron_3_0_chr12_95485982_f	601870	NA	NA	NA	NA
chr12	96004677	96004729	PE_1_of_1_in_NM_000895.3_intron_2_0_chr12_96003921_r	NMD_in	LTA4H	LTA4H	chr12	96003920	96006313	NM_000895.3_intron_2_0_chr12_96003921_r	151570	NA	NA	NA	NA
chr12	98594300	98594448	PE_1_of_2_in_NM_002635.4_intron_1_0_chr12_98594136_f	NMD_in	SLC25A3	SLC25A3, PHC	chr12	98594135	98595726	NM_002635.4_intron_1_0_chr12_98594136_f	600370	Mitochondrial phosphate carrier deficiency, 610773 (3), Autosomal recessive	NA	NA	NA
chr12	98595432	98595556	PE_2_of_2_in_NM_002635.4_intron_1_0_chr12_98594136_f	NMD_in	SLC25A3	SLC25A3, PHC	chr12	98594135	98595726	NM_002635.4_intron_1_0_chr12_98594136_f	600370	Mitochondrial phosphate carrier deficiency, 610773 (3), Autosomal recessive	NA	NA	NA
chr12	100128579	100128724	PE_1_of_1_in_NM_015054.2_intron_19_0_chr12_100108549_r	NMD_in	UHRF1BP1L	UHRF1BP1L, SHIP164, KIAA0701	chr12	100108548	100142591	NM_015054.2_intron_19_0_chr12_100108549_r	619811	NA	NA	NA	NA
chr12	101719489	101719515	PE_1_of_1_in_NM_020244.3_intron_3_0_chr12_101716813_f	NMD_in	CHPT1	CHPT1, CPT, CPT1	chr12	101716812	101720122	NM_020244.3_intron_3_0_chr12_101716813_f	616747	NA	NA	NA	NA
chr12	106078834	106079124	PE_1_of_1_in_NM_014840.3_intron_2_0_chr12_106072844_r	NMD_in	NUAK1	NUAK1, ARK5,  KIAA0537	chr12	106072843	106083863	NM_014840.3_intron_2_0_chr12_106072844_r	608130	NA	Rare Single Gene Mutation, Functional	2	0
chr12	106118789	106118874	PE_1_of_1_in_NM_014840.3_intron_5_0_chr12_106106526_r	NMD_in	NUAK1	NUAK1, ARK5,  KIAA0537	chr12	106106525	106138413	NM_014840.3_intron_5_0_chr12_106106526_r	608130	NA	Rare Single Gene Mutation, Functional	2	0
chr12	106342467	106342572	PE_1_of_1_in_NM_152772.3_intron_8_0_chr12_106340999_f	NMD_in	TCP11L2	NA	chr12	106340998	106346285	NM_152772.3_intron_8_0_chr12_106340999_f	NA	NA	NA	NA	NA
chr12	106775366	106775429	PE_1_of_1_in_NM_001330145.2_intron_0_0_chr12_106774830_f	NMD_in	RIC8B	RIC8B	chr12	106774829	106783996	NM_001330145.2_intron_0_0_chr12_106774830_f	609147	NA	NA	NA	NA
chr12	106878987	106879125	PE_1_of_1_in_NM_001330145.2_intron_8_0_chr12_106870943_f	NMD_in	RIC8B	RIC8B	chr12	106870942	106885903	NM_001330145.2_intron_8_0_chr12_106870943_f	609147	NA	NA	NA	NA
chr12	107752455	107752517	PE_1_of_1_in_NM_012406.4_intron_7_0_chr12_107752210_r	NMD_in	PRDM4	PRDM4, PFM1	chr12	107752209	107753923	NM_012406.4_intron_7_0_chr12_107752210_r	605780	NA	NA	NA	NA
chr12	111270229	111270452	PE_1_of_1_in_NM_015267.4_intron_3_0_chr12_111263840_f	NMD_in	CUX2	CUX2, CDP2, CUTL2, DEE67	chr12	111263839	111291417	NM_015267.4_intron_3_0_chr12_111263840_f	610648	Developmental and epileptic encephalopathy 67, 618141 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	2	1
chr12	111867464	111867503	PE_1_of_1_in_NM_003668.4_intron_2_0_chr12_111866232_f	NMD_in	MAPKAPK5	MAPKAPK5, PRAK	chr12	111866231	111867571	NM_003668.4_intron_2_0_chr12_111866232_f	606723	NA	NA	NA	NA
chr12	112049482	112049610	PE_1_of_1_in_NM_024953.4_intron_8_0_chr12_112048444_r	NMD_in	NAA25	NAA25, MDM20, C12orf30	chr12	112048443	112053557	NM_024953.4_intron_8_0_chr12_112048444_r	612755	NA	NA	NA	NA
chr12	113090334	113090523	PE_1_of_1_in_NM_004416.3_intron_2_0_chr12_113078106_f	NMD_in	DTX1	DTX1	chr12	113078105	113093161	NM_004416.3_intron_2_0_chr12_113078106_f	602582	NA	NA	NA	NA
chr12	113288494	113288525	PE_1_of_1_in_NM_017901.6_intron_19_0_chr12_113288235_f	NMD_in	TPCN1	TPCN1, TPC1, KIAA1169	chr12	113288234	113288757	NM_017901.6_intron_19_0_chr12_113288235_f	609666	NA	NA	NA	NA
chr12	118025245	118025367	PE_1_of_1_in_NM_007370.7_intron_5_0_chr12_118025011_f	NMD_in	RFC5	RFC5	chr12	118025010	118025746	NM_007370.7_intron_5_0_chr12_118025011_f	600407	NA	NA	NA	NA
chr12	118235794	118235905	PE_1_of_1_in_NM_016281.4_intron_13_0_chr12_118235672_r	NMD_in	TAOK3	TAOK3, JIK, DPK	chr12	118235671	118238072	NM_016281.4_intron_13_0_chr12_118235672_r	616711	NA	NA	NA	NA
chr12	119144538	119144553	PE_1_of_1_in_NM_194286.4_intron_7_0_chr12_119130835_f	NMD_in	SRRM4	SRRM4, KIAA1853, NSR100	chr12	119130834	119145380	NM_194286.4_intron_7_0_chr12_119130835_f	613103	NA	NA	NA	NA
chr12	120090910	120091018	PE_1_of_1_in_NM_001367886.1_intron_8_0_chr12_120090072_f	NMD_in	BICDL1	BICDL1, BICDR1, CCDC64	chr12	120090071	120092999	NM_001367886.1_intron_8_0_chr12_120090072_f	617002	NA	Genetic Association	2	0
chr12	120464732	120464821	PE_1_of_1_in_NM_003769.3_intron_1_0_chr12_120464123_r	NMD_in	SRSF9	SRSF9, SFRS9, SRp30c	chr12	120464122	120465626	NM_003769.3_intron_1_0_chr12_120464123_r	601943	NA	NA	NA	NA
chr12	121327551	121327640	PE_1_of_1_in_NM_016237.5_intron_6_0_chr12_121327232_r	NMD_in	ANAPC5	ANAPC5, APC5	chr12	121327231	121328315	NM_016237.5_intron_6_0_chr12_121327232_r	606948	NA	NA	NA	NA
chr12	121328773	121328846	PE_1_of_1_in_NM_016237.5_intron_7_0_chr12_121328498_r	NMD_in	ANAPC5	ANAPC5, APC5	chr12	121328497	121330582	NM_016237.5_intron_7_0_chr12_121328498_r	606948	NA	NA	NA	NA
chr12	121516469	121516520	PE_1_of_2_in_NM_032590.5_intron_13_0_chr12_121513403_r	NMD_in	KDM2B	KDM2B, FBXL10, FBL10, CXXC2, JHDM1B	chr12	121513402	121520984	NM_032590.5_intron_13_0_chr12_121513403_r	609078	NA	NA	NA	NA
chr12	121517000	121517022	PE_2_of_2_in_NM_032590.5_intron_13_0_chr12_121513403_r	NMD_in	KDM2B	KDM2B, FBXL10, FBL10, CXXC2, JHDM1B	chr12	121513402	121520984	NM_032590.5_intron_13_0_chr12_121513403_r	609078	NA	NA	NA	NA
chr12	122513769	122513837	PE_1_of_1_in_NM_023012.6_intron_3_0_chr12_122511189_r	NMD_in	RSRC2	NA	chr12	122511188	122515104	NM_023012.6_intron_3_0_chr12_122511189_r	NA	NA	NA	NA	NA
chr12	122520504	122520581	PE_1_of_1_in_NM_023012.6_intron_6_0_chr12_122519030_r	NMD_in	RSRC2	NA	chr12	122519029	122521384	NM_023012.6_intron_6_0_chr12_122519030_r	NA	NA	NA	NA	NA
chr12	122522803	122522906	PE_1_of_1_in_NM_023012.6_intron_8_0_chr12_122522300_r	NMD_in	RSRC2	NA	chr12	122522299	122526847	NM_023012.6_intron_8_0_chr12_122522300_r	NA	NA	NA	NA	NA
chr12	123195726	123195916	PE_1_of_1_in_NM_022782.4_intron_11_0_chr12_123194602_r	NMD_in	MPHOSPH9	MPHOSPH9, MPP9	chr12	123194601	123198246	NM_022782.4_intron_11_0_chr12_123194602_r	605501	NA	NA	NA	NA
chr12	123615562	123615629	PE_1_of_1_in_NM_020936.3_intron_8_0_chr12_123615317_f	NMD_in	DDX55	NA	chr12	123615316	123616510	NM_020936.3_intron_8_0_chr12_123615317_f	NA	NA	NA	NA	NA
chr12	130799168	130799190	PE_1_of_1_in_NM_194356.4_intron_2_0_chr12_130798636_r	NMD_in	STX2	STX2, EPIM, STX2C, STX2B, STX2A	chr12	130798635	130801152	NM_194356.4_intron_2_0_chr12_130798636_r	132350	NA	NA	NA	NA
chr12	131713517	131713653	PE_1_of_1_in_NM_004592.4_intron_0_0_chr12_131711448_f	NMD_in	SFSWAP	SFSWAP, SFRS8, SWAP	chr12	131711447	131714070	NM_004592.4_intron_0_0_chr12_131711448_f	601945	NA	NA	NA	NA
chr13	20862969	20863123	PE_1_of_1_in_NM_022459.5_intron_20_0_chr13_20862859_r	NMD_in	XPO4	XPO4, KIAA1721	chr13	20862858	20868595	NM_022459.5_intron_20_0_chr13_20862859_r	611449	NA	NA	NA	NA
chr13	21381901	21381945	PE_1_of_1_in_NM_001330059.2_intron_2_0_chr13_21381550_r	NMD_in	ZDHHC20	ZDHHC20, DHHC20	chr13	21381549	21382919	NM_001330059.2_intron_2_0_chr13_21381550_r	617972	NA	NA	NA	NA
chr13	28239579	28239696	PE_1_of_1_in_NM_175854.8_intron_5_0_chr13_28220379_f	NMD_in	PAN3	PAN3	chr13	28220378	28256291	NM_175854.8_intron_5_0_chr13_28220379_f	617448	NA	NA	NA	NA
chr13	28278122	28278192	PE_1_of_1_in_NM_175854.8_intron_14_0_chr13_28277377_f	NMD_in	PAN3	PAN3	chr13	28277376	28280411	NM_175854.8_intron_14_0_chr13_28277377_f	617448	NA	NA	NA	NA
chr13	31155767	31155925	PE_1_of_1_in_NM_006644.4_intron_15_0_chr13_31155655_r	NMD_in	HSPH1	HSPH1, HSP105, KIAA0201	chr13	31155654	31158805	NM_006644.4_intron_15_0_chr13_31155655_r	610703	NA	NA	NA	NA
chr13	32668514	32668710	PE_1_of_1_in_NM_015032.4_intron_6_0_chr13_32667845_f	NMD_in	PDS5B	PDS5B, AS3, APRIN	chr13	32667844	32673215	NM_015032.4_intron_6_0_chr13_32667845_f	605333	NA	NA	NA	NA
chr13	32771613	32771693	PE_1_of_1_in_NM_015032.4_intron_32_0_chr13_32770762_f	NMD_in	PDS5B	PDS5B, AS3, APRIN	chr13	32770761	32773188	NM_015032.4_intron_32_0_chr13_32770762_f	605333	NA	NA	NA	NA
chr13	35095995	35096100	PE_1_of_1_in_NM_001385012.1_intron_9_0_chr13_35070853_f	NMD_in	NBEA	NBEA, NEDEGE	chr13	35070852	35098296	NM_001385012.1_intron_9_0_chr13_35070853_f	604889	Neurodevelopmental disorder with or without early-onset generalized epilepsy, 619157 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0
chr13	35293759	35293799	PE_1_of_1_in_NM_001385012.1_intron_34_0_chr13_35290451_f	NMD_in	NBEA	NBEA, NEDEGE	chr13	35290450	35309527	NM_001385012.1_intron_34_0_chr13_35290451_f	604889	Neurodevelopmental disorder with or without early-onset generalized epilepsy, 619157 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0
chr13	37763545	37763620	PE_1_of_1_in_NM_016179.4_intron_8_0_chr13_37746456_r	NMD_in	TRPC4	TRPC4, TRP4	chr13	37746455	37782955	NM_016179.4_intron_8_0_chr13_37746456_r	603651	NA	NA	NA	NA
chr13	41362730	41362872	PE_1_of_1_in_NM_024561.5_intron_12_0_chr13_41362160_f	NMD_in	NAA16	NAA16, NARG1L	chr13	41362159	41367438	NM_024561.5_intron_12_0_chr13_41362160_f	619497	NA	NA	NA	NA
chr13	41819718	41819786	PE_1_of_1_in_NM_015058.2_intron_30_0_chr13_41819387_r	NMD_in	VWA8	VWA8, KIAA0564	chr13	41819386	41830528	NM_015058.2_intron_30_0_chr13_41819387_r	617509	NA	NA	NA	NA
chr13	42304081	42304143	PE_1_of_1_in_NM_016248.4_intron_7_0_chr13_42303864_f	NMD_in	AKAP11	AKAP11, AKAP220	chr13	42303863	42308453	NM_016248.4_intron_7_0_chr13_42303864_f	604696	NA	NA	NA	NA
chr13	44390356	44390577	PE_1_of_1_in_NM_001010897.3_intron_1_0_chr13_44379714_f	NMD_in	SERP2	NA	chr13	44379713	44397271	NM_001010897.3_intron_1_0_chr13_44379714_f	NA	NA	NA	NA	NA
chr13	48233929	48233961	PE_1_of_1_in_NM_021999.5_intron_0_0_chr13_48233478_f	NMD_in	ITM2B	ITM2B, BRI, ABRI, FBD, RDGCA	chr13	48233477	48253807	NM_021999.5_intron_0_0_chr13_48233478_f	603904	?Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities, 616079 (3), Autosomal dominant; Dementia, familial British, 176500 (3), Autosomal dominant; Dementia, familial Danish, 117300 (3), Autosomal dominant	NA	NA	NA
chr13	48518841	48518901	PE_1_of_1_in_NM_001268.4_intron_10_0_chr13_48515742_r	NMD_in	RCBTB2	RCBTB2, CHC1L	chr13	48515741	48521897	NM_001268.4_intron_10_0_chr13_48515742_r	603524	NA	NA	NA	NA
chr13	51421112	51421334	PE_1_of_1_in_NM_012141.3_intron_13_0_chr13_51395484_r	NMD_in	INTS6	INTS6, DDX26, DICE1	chr13	51395483	51430293	NM_012141.3_intron_13_0_chr13_51395484_r	604331	NA	Rare Single Gene Mutation	2	0
chr13	60547405	60547491	PE_1_of_1_in_NM_001146070.2_intron_11_0_chr13_60535234_f	NMD_in	TDRD3	TDRD3	chr13	60535233	60567524	NM_001146070.2_intron_11_0_chr13_60535234_f	614392	NA	NA	NA	NA
chr13	72781289	72781356	PE_1_of_1_in_NM_014953.5_intron_19_0_chr13_72781004_r	NMD_in	DIS3	DIS3, KIAA1008	chr13	72781003	72781604	NM_014953.5_intron_19_0_chr13_72781004_r	607533	NA	NA	NA	NA
chr13	75307575	75307611	PE_1_of_1_in_NM_014832.5_intron_6_0_chr13_75306472_r	NMD_in	TBC1D4	TBC1D4, AS160, KIAA0603, NIDDM5	chr13	75306471	75309941	NM_014832.5_intron_6_0_chr13_75306472_r	612465	{Diabetes mellitus, noninsulin-dependent, 5}, 616087 (3)	NA	NA	NA
chr13	75761183	75761226	PE_1_of_1_in_NM_001306080.2_intron_3_0_chr13_75761039_f	NMD_in	LMO7	LMO7, FBXO20, FBX20, KIAA0858	chr13	75761038	75795400	NM_001306080.2_intron_3_0_chr13_75761039_f	604362	NA	NA	NA	NA
chr13	78658399	78658473	PE_1_of_1_in_NM_024546.4_intron_4_0_chr13_78644998_r	NMD_in	OBI1	OBI1, RNF219, C13orf7	chr13	78644997	78659048	NM_024546.4_intron_4_0_chr13_78644998_r	615906	NA	NA	NA	NA
