HGNC ID	Approved symbol	Previous symbols	Alias symbols	Chromosome	Accession numbers	Alias names	Previous name
HGNC:51226	CEBPB-AS1			20q13.13	BX463443
HGNC:1835	CEBPD		CRP3, CELF, C/EBP-delta, NF-IL6-beta	8q11.21			"CCAAT/enhancer binding protein (C/EBP), delta", "CCAAT/enhancer binding protein delta"
HGNC:1836	CEBPE		CRP1	14q11.2			"CCAAT/enhancer binding protein (C/EBP), epsilon", "CCAAT/enhancer binding protein epsilon"
HGNC:1837	CEBPG		GPE1BP, IG/EBP-1	19q13.11	U20240		"CCAAT/enhancer binding protein (C/EBP), gamma", "CCAAT/enhancer binding protein gamma"
HGNC:24218	CEBPZ		CBF2, CTF2	2p22.2	M37197		"CCAAT/enhancer binding protein (C/EBP), zeta", "CCAAT/enhancer binding proteincebp* family zeta", "CCAAT/enhancer binding protein zeta"
HGNC:49288	CEBPZOS	CEBPZ-AS1		2p22.2			"CEBPZ antisense RNA 1"
HGNC:1838	CECR			22pter-q11
HGNC:1840	CECR2		KIAA1740	22q11.1-q11.21	AF336133		"cat eye syndrome chromosome region, candidate 2"
HGNC:1841	CECR3			22q11.1	AF277398		"cat eye syndrome chromosome region, candidate 3", "cat eye syndrome chromosome region, candidate 3 (non-protein coding)"
HGNC:1845	CECR7		SAHL1	22q11.1	BC043198		"cat eye syndrome chromosome region, candidate 7", "cat eye syndrome chromosome region, candidate 7 (non-protein coding)"
HGNC:1847	CECR9			22q11.2	AF307449		"cat eye syndrome chromosome region, candidate 9", "cat eye syndrome chromosome region, candidate 9 (non-protein coding)"
HGNC:1848	CEL		BSSL, MODY8	9q34.13	M54994	"bile salt-stimulated lipase"
HGNC:3308	CELA1	ELA1		12q13.13			"elastase 1, pancreatic", "chymotrypsin-like elastase family, member 1"
HGNC:24609	CELA2A		ELA2A	1p36.21		"elastase 2A"	"chymotrypsin-like elastase family, member 2A"
HGNC:29995	CELA2B		RP11-265F14.2, ELA2B	1p36.21		"pancreatic elastase IIB"	"chymotrypsin-like elastase family, member 2B"
HGNC:15944	CELA3A	ELA3A	ELA3	1p36.12	D00306	"protease E"	"elastase 3A, pancreatic (protease E)", "elastase 3A, pancreatic", "chymotrypsin-like elastase family, member 3A"
HGNC:15945	CELA3B	ELA3B	CBPP	1p36.12	M18692	"proteinase E", "elastase 1", "cholesterol-binding pancreatic protease", "pancreatic endopeptidase E"	"elastase 3B, pancreatic", "chymotrypsin-like elastase family, member 3B"
HGNC:2549	CELF1	CUGBP1	CUG-BP, hNab50, BRUNOL2, NAB50, CUGBP, NAPOR, EDEN-BP	11p11.2	U63289	"CUG RNA-binding protein", "nuclear polyadenylated RNA-binding protein, 50-kD", "bruno-like 2", "embryo deadenylation element binding protein"	"CUG triplet repeat, RNA-binding protein 1", "CUG triplet repeat, RNA binding protein 1", "CUGBP, Elav-like family member 1"
HGNC:2550	CELF2	CUGBP2	Etr-3, NAPOR-2, BRUNOL3	10p14	U69546		"CUG triplet repeat, RNA-binding protein 2", "CUG triplet repeat, RNA binding protein 2", "CUGBP, Elav-like family member 2"
HGNC:23515	CELF2-AS1	C10orf31	FLJ40494, Em:AC026887.2	10p14	AK097813		"chromosome 10 open reading frame 31", "CELF2 antisense RNA 1 (non-protein coding)"
HGNC:44703	CELF2-AS2			10p14
HGNC:54157	CELF2-DT			10p14
HGNC:11967	CELF3	TNRC4	CAGH4, BRUNOL1, ERDA4, MGC57297	1q21.3	U80759	"expanded repeat domain, CAG/CTG 4", "CAG repeat domain", "CUG-BP and ETR-3 like factor 3"	"trinucleotide repeat containing 4", "CUGBP, Elav-like family member 3"
HGNC:14015	CELF4	BRUNOL4		18q12.2	AF248651		"Bruno (Drosophila) -like 4, RNA binding protein", "bruno-like 4, RNA binding protein (Drosophila)", "CUGBP, Elav-like family member 4"
HGNC:14058	CELF5	BRUNOL5		19p13.3	AF248649		"Bruno (Drosophila) -like 5, RNA binding protein", "bruno-like 5, RNA binding protein (Drosophila)", "CUGBP, Elav-like family member 5"
HGNC:14059	CELF6	BRUNOL6		15q23	AF425606		"Bruno (Drosophila) -like 6, RNA binding protein", "bruno-like 6, RNA binding protein (Drosophila)", "CUGBP, Elav-like family member 6"
HGNC:19378	CELIAC2		CD, GSE	5q31-q33
HGNC:19376	CELIAC3		CD, GSE, CTLA4, CD28, ICOS	2q33
HGNC:19377	CELIAC4			19p13.11			"celiac disease 4"
HGNC:1849	CELP	CELL		9q34.13	L14813		"carboxyl ester lipase-like (bile salt-stimulated lipase-like)"
HGNC:1850	CELSR1		ME2, HFMI2, FMI2, CDHF9, ADGRC1	22q13.31	AF231024	"flamingo homolog 2 (Drosophila)", "adhesion G protein-coupled receptor C1"	"cadherin, EGF LAG seven-pass G-type receptor 1, flamingo (Drosophila) homolog", "cadherin, EGF LAG seven-pass G-type receptor 1"
HGNC:55984	CELSR1P1			22q11.21
HGNC:3231	CELSR2	EGFL2	KIAA0279, MEGF3, Flamingo1, CDHF10, ADGRC2	1p13.3	D87469	"adhesion G protein-coupled receptor C2"	"cadherin, EGF LAG seven-pass G-type receptor 2, flamingo (Drosophila) homolog", "cadherin, EGF LAG seven-pass G-type receptor 2"
HGNC:3230	CELSR3	EGFL1	MEGF2, HFMI1, FMI1, CDHF11, ADGRC3	3p21.31	AF231023	"flamingo homolog 1 (Drosophila)", "adhesion G protein-coupled receptor C3"	"cadherin EGF LAG seven-pass G-type receptor 3, flamingo (Drosophila) homolog", "cadherin, EGF LAG seven-pass G-type receptor 3"
HGNC:29213	CEMIP	KIAA1199	IR2155535, TMEM2L, HYBID	15q25.1	BC020256	"hyaluronan-binding protein involved in hyaluronan depolymerization"	"KIAA1199", "cell migration inducing protein, hyaluronan binding", "cell migration inducing hyaluronan binding protein"
HGNC:11869	CEMIP2	TMEM2		9q21.13			"transmembrane protein 2"
HGNC:32553	CEMP1		CP-23	16p13.3	AY584596	"cementum protein-23"
HGNC:30460	CENATAC	CCDC84	DLNB14	11q23.3	AB094093		"coiled-coil domain containing 84"
HGNC:54215	CENATAC-DT	CCDC84-DT		11q23.3			"CCDC84 divergent transcript"
HGNC:24153	CEND1		FLJ90066, BM88	11p15.5	AK074547
HGNC:43674	CEND1P1			14q32.33
HGNC:43675	CEND1P2			13q12.12
HGNC:1851	CENPA		CENP-A, CenH3	2p23.3	U14518	"centromere-specific histone", "histone H3-like centromeric protein A"	"centromere protein A (17kD)", "centromere protein A, 17kDa"
HGNC:1852	CENPB			20p13	X05299		"centromere protein B (80kD)", "centromere protein B, 80kDa"
HGNC:28272	CENPBD1P	CENPBD1	MGC16385	16q24.3	AK056131		"CENPB DNA-binding domains containing 1", "CENPB DNA-binding domain containing 1"
HGNC:28421	CENPBD2P	CENPBD1P1		19q13.43			"CENPBD1 pseudogene 1", "CENPB DNA-binding domains containing 1 pseudogene 1"
HGNC:1854	CENPC	CENPC1	CENP-C, hcp-4, MIF2	4q13.2	M95724		"centromere protein C 1"
HGNC:1853	CENPC
HGNC:1855	CENPCP1	CENPC, CENPC2, CENPC1P1		12q21.33			"centromere protein C2, 140kDa", "centromere protein C2, 140kDa pseudogene", "centromere protein C 1 pseudogene 1"
HGNC:1856	CENPE		KIF10, PPP1R61	4q24	Z15005	"protein phosphatase 1, regulatory subunit 61"	"centromere protein E (312kD)", "centromere protein E, 312kDa"
HGNC:1857	CENPF		hcp-1	1q41	U30872	"mitosin"	"centromere protein F, 350/400kDa (mitosin)", "centromere protein F, 350/400kDa"
HGNC:17268	CENPH			5q13.2	AB035124
HGNC:3968	CENPI	FSHPRH1	LRPR1, CENP-I, Mis6	Xq22.1	X97249		"FSH primary response (LRPR1, rat) homolog 1", "FSH primary response (LRPR1 homolog, rat) 1"
HGNC:39575	CENPIP1			13q12.11
HGNC:17272	CENPJ	MCPH6	CPAP, BM032, LAP, LIP1, Sas-4, SASS4, SCKL4	13q12.12-q12.13	AF139625	"centrosomal P4.1-associated protein", "Seckel syndrome 4", "Spindle assembly abnormal 4", "LAG-3-associated protein"	"microcephaly, primary autosomal recessive 6"
HGNC:29479	CENPK		FKSG14, SOLT, CENP-K	5q12.3	BC008504
HGNC:17879	CENPL	C1orf155	dJ383J4.3, FLJ31044	1q25.1	BC033154, BC019022, AK055606		"chromosome 1 open reading frame 155"
HGNC:18352	CENPM	C22orf18	Pane1, CENP-M, MGC861	22q13.2	BC000705		"chromosome 22 open reading frame 18"
HGNC:30873	CENPN	C16orf60	FLJ13607, FLJ22660, BM039	16q23.2	AK026313		"chromosome 16 open reading frame 60"
HGNC:55106	CENPN-AS1			16q23.2
HGNC:54592	CENPNP1			2p11.2
HGNC:54593	CENPNP2			2q13
HGNC:28152	CENPO		MGC11266, CENP-O	2p23.3	AK027859
HGNC:32933	CENPP		RP11-19J3.3, CENP-P	9q22.31	AK091247
HGNC:21347	CENPQ	C6orf139	FLJ10545, CENP-Q	6p12.3	AK001407		"chromosome 6 open reading frame 139"
HGNC:23163	CENPS	APITD1, MHF1	CENP-S, FAAP16	1p36.22	BC029430		"apoptosis-inducing, TAF9-like domain 1", "FANCM associated histone fold protein 1"
HGNC:38843	CENPS-CORT	APITD1-CORT		1p36.22			"APITD1-CORT readthrough"
HGNC:25787	CENPT	C16orf56	FLJ13111, CENP-T	16q22.1	AK056097		"chromosome 16 open reading frame 56"
HGNC:21348	CENPU	MLF1IP	CENP-U, KLIP1, CENP-50, PBIP1	4q35.1	AK027121, AF516710	"polo-box-interacting protein 1"	"MLF1 interacting protein"
HGNC:49889	CENPUP1			11p15.3
HGNC:49890	CENPUP2			12p12.1
HGNC:29920	CENPV	PRR6	p30, CENP-V	17p11.2	AF514992		"proline rich 6"
HGNC:31851	CENPVL1	CENPVP1	PRR6L1	Xp11.22	AY730278	"proline rich 6-like 1"	"centromere protein V pseudogene 1"
HGNC:43879	CENPVL2	CENPVP2		Xp11.22			"centromere protein V pseudogene 2"
HGNC:43880	CENPVL3	CENPVP3		Xp11.22			"centromere protein V pseudogene 3"
HGNC:21488	CENPW	C6orf173	CUG2	6q22.32	BC039556	"cancer-upregulated gene 2"	"chromosome 6 open reading frame 173"
HGNC:11422	CENPX	STRA13, MHF2	MGC14480, FAAP10, CENP-X	17q25.3	BC009571		"stimulated by retinoic acid 13 homolog (mouse)", "stimulated by retinoic acid 13", "FANCM associated histone fold protein 2"
HGNC:28209	CEP19	C3orf34	MGC14126	3q29	BC007827		"chromosome 3 open reading frame 34", "centrosomal protein 19kDa"
HGNC:54796	CEP19P1			2q37.2
HGNC:26435	CEP20	C16orf63, FOPNL	DKFZp686N1651, FLJ31153, PHSECRG2, FOR20	16p13.11	AL832498	"pluripotent embryonic stem cell-related protein", "FOP-related protein of 20 kDa"	"chromosome 16 open reading frame 63", "FGFR1OP N-terminal like"
HGNC:12370	CEP41	TSGA14	DKFZp762H1311, FLJ22445, JBTS15	7q32.2	AJ278890		"testis specific, 14", "centrosomal protein 41kDa"
HGNC:17012	CEP43	FGFR1OP	FOP	6q27	Y18046		"FGFR1 oncogene partner"
HGNC:29356	CEP44	KIAA1712		4q34.1	AB051499		"KIAA1712", "centrosomal protein 44kDa"
HGNC:1161	CEP55	C10orf3	FLJ10540, CT111	10q23.33	AK001402	"cancer/testis antigen 111"	"chromosome 10 open reading frame 3", "centrosomal protein 55kDa"
HGNC:30794	CEP57		Translokin, TSP57, KIAA0092	11q21	D42054		"centrosomal protein 57kDa"
HGNC:21561	CEP57L1	C6orf182	bA487F23.2, MGC21731	6q21	AK092723		"chromosome 6 open reading frame 182", "centrosomal protein 57kDa-like 1"
HGNC:23521	CEP57L1P1	C10orf37, C6orf182P		10q22.1			"chromosome 10 open reading frame 37", "chromosome 6 open reading frame 182 pseudogene", "centrosomal protein 57kDa-like 1 pseudogene 1"
HGNC:25815	CEP63		FLJ13386	3q22.2	AK056465		"centrosomal protein 63kDa"
HGNC:29076	CEP68	KIAA0582		2p14	BC004873		"KIAA0582", "centrosomal protein 68kDa"
HGNC:29972	CEP70		BITE, FLJ13036	3q22.3	AF202146		"centrosomal protein 70kDa"
HGNC:25547	CEP72		KIAA1519, FLJ10565	5p15.33	BC000132		"centrosomal protein 72kDa"
HGNC:55563	CEP72-DT			5p15.33
HGNC:25727	CEP76	C18orf9	HsT1705, FLJ12542	18p11.21	BC026307		"chromosome 18 open reading frame 9", "centrosomal protein 76kDa"
HGNC:25740	CEP78	C9orf81	FLJ12643	9q21.2	BC058931		"chromosome 9 open reading frame 81", "centrosomal protein 78kDa"
HGNC:17966	CEP83	CCDC41	NY-REN-58, NPHP18	12q22	AF155115		"coiled-coil domain containing 41", "centrosomal protein 83kDa"
HGNC:27055	CEP83-DT	CCDC41-AS1, CEP83-AS1		12q22			"CCDC41 antisense RNA 1 (head to head)", "CEP83 antisense RNA 1 (head to head)"
HGNC:25309	CEP85	CCDC21	DKFZP434L0117	1p36.11	AK024038		"coiled-coil domain containing 21", "centrosomal protein 85kDa"
HGNC:21638	CEP85L	C6orf204	NY-BR-15, bA57K17.2	6q22.31	AF308284		"chromosome 6 open reading frame 204", "centrosomal protein 85kDa-like"
HGNC:25907	CEP89	CCDC123	FLJ14640	19q13.11	AL832158		"coiled-coil domain containing 123", "centrosomal protein 89kDa"
HGNC:25141	CEP95	CCDC45	DKFZp667E1824	17q23.3	AL832822		"coiled-coil domain containing 45", "centrosomal protein 95kDa"
HGNC:26244	CEP97	LRRIQ2	FLJ23047	3q12.3	AL833269		"leucine-rich repeats and IQ motif containing 2", "centrosomal protein 97kDa"
HGNC:24866	CEP104	KIAA0562	GlyBP, RP1-286D6.4, CFAP256, ROC22, JBTS25	1p36.32	AB011134	"glycine, glutamate, thienylcyclohexylpiperidine binding protein"	"KIAA0562", "centrosomal protein 104kDa"
HGNC:28514	CEP112	CCDC46	MGC33887	17q24.1	AF458591		"coiled-coil domain containing 46", "centrosomal protein 112kDa"
HGNC:26690	CEP120	CCDC100	FLJ36090	5q23.2	AK095646		"coiled-coil domain containing 100", "centrosomal protein 120kDa"
HGNC:29264	CEP126	KIAA1377		11q22.1	AK095004		"KIAA1377", "centrosomal protein 126kDa"
HGNC:20359	CEP128	C14orf61, C14orf145		14q31.1	AK056756		"chromosome 14 open reading frame 61", "chromosome 14 open reading frame 145", "centrosomal protein 128kDa"
HGNC:29511	CEP131	AZI1	AZ1, KIAA1118	17q25.3	AB029041		"5-azacytidine induced 1", "centrosomal protein 131kDa"
HGNC:29086	CEP135	KIAA0635, CEP4	FLJ13621	4q12	AB014535		"KIAA0635", "centrosomal protein 4", "centrosomal protein 135kDa"
HGNC:29298	CEP152		KIAA0912, SCKL5, MCPH9	15q21.1	AB020719	"asterless"	"centrosomal protein 152kDa"
HGNC:21107	CEP162	C6orf84, KIAA1009	QN1	6q14.2-q14.3	AB023226		"chromosome 6 open reading frame 84", "KIAA1009", "centrosomal protein 162kDa"
HGNC:29182	CEP164		KIAA1052, NPHP15	11q23.3	AB028975		"centrosomal protein 164kDa"
HGNC:44988	CEP164P1			10q11.21			"centrosomal protein 164kDa pseudogene 1"
HGNC:28920	CEP170	KIAA0470	KAB, FAM68A	1q43	AB022657	"KARP 1 binding protein", "XRCC5 binding protein"	"KIAA0470", "centrosomal protein 170kDa"
HGNC:20362	CEP170B	KIAA0284	FAM68C, Cep170R	14q32.33	AB006622	"Cep170-related"	"KIAA0284"
HGNC:28364	CEP170P1	KIAA0470L, CEP170L	MGC26143, FAM68B	4q26	BC014590		"KIAA0470-like", "centrosomal protein 170kDa-like", "centrosomal protein 170kDa pseudogene 1"
HGNC:25515	CEP192		KIAA1569, FLJ10352, PPP1R62	18p11.21	AK074074	"protein phosphatase 1, regulatory subunit 62"	"centrosomal protein 192kDa"
HGNC:55313	CEP192-DT		RP11-773H22.4	18p11.21
HGNC:1859	CEP250	CEP2	C-NAP1	20q11.22	AF022655		"centrosomal protein 2", "centrosomal protein 250kDa"
HGNC:40143	CEP250-AS1			20q11.22
HGNC:29021	CEP290		KIAA0373, FLJ13615, 3H11Ag, rd16, NPHP6, JBTS5, SLSN6, LCA10, MKS4, BBS14, CT87, POC3	12q21.32	AB002371	"Joubert syndrome 5", "nephrocystin-6", "cancer/testis antigen 87", "POC3 centriolar protein homolog (Chlamydomonas)", "Meckel syndrome, type 4", "Bardet-Biedl syndrome 14"	"centrosomal protein 290kDa"
HGNC:29366	CEP295	KIAA1731		11q21	AB051518		"KIAA1731", "centrosomal protein 295kDa"
HGNC:44659	CEP295NL	KIAA1731NL	DDC8	17q25.3			"KIAA1731 N-terminal like"
HGNC:24238	CEP350		KIAA0480, CAP350	1q25.2	AF287356	"centrosome associated protein 350"	"centrosomal protein 350kDa"
HGNC:1860	CEPA			reserved
HGNC:1861	CEPO
HGNC:24289	CEPT1			1p13.3	AF068302
HGNC:1862	CER1		DAND4	9p22.3	AF090189		"cerberus 1 (Xenopus laevis) homolog (cysteine knot superfamily)", "cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)"
HGNC:23723	CERCAM	CEECAM1	GLT25D3	9q34.11	AB040935	"glycosyltransferase 25 domain containing 3"	"cerebral cell adhesion molecule"
HGNC:19256	CERK		hCERK, FLJ23239, dA59H18.3, DKFZp434E0211, FLJ21430, KIAA1646, LK4, dA59H18.2	22q13.31	AB079066
HGNC:21699	CERKL	RP26		2q31.3	BC020465		"retinitis pigmentosa 26 (autosomal recessive)", "ceramide kinase-like"
HGNC:52664	CERNA1		LOC100129973	15q21.2
HGNC:51354	CERNA2		HOST2	10q23.1	BC033760, BC051760	"human ovarian cancer specific transcript 2"
HGNC:53469	CERNA3		CTA	8q12.1
HGNC:53928	CEROX1			16p13.3	BC098409
HGNC:14253	CERS1	LASS1	LAG1, UOG1	19p13.11	AF105005		"longevity assurance (LAG1, S. cerevisiae) homolog 1", "LAG1 longevity assurance homolog 1 (S. cerevisiae)", "LAG1 homolog, ceramide synthase 1"
HGNC:14076	CERS2	LASS2	SP260, FLJ10243	1q21.3	AF189062		"longevity assurance (LAG1, S. cerevisiae) homolog 2", "LAG1 longevity assurance homolog 2 (S. cerevisiae)", "LAG1 homolog, ceramide synthase 2"
HGNC:23752	CERS3	LASS3	MGC27091	15q26.3			"LAG1 longevity assurance homolog 3 (S. cerevisiae)", "LAG1 homolog, ceramide synthase 3"
HGNC:51431	CERS3-AS1			15q26.3	AL708976, AI160488
HGNC:23747	CERS4	LASS4	FLJ12089, Trh1	19p13.2			"LAG1 longevity assurance homolog 4 (S. cerevisiae)", "LAG1 homolog, ceramide synthase 4"
HGNC:23749	CERS5	LASS5	Trh4, MGC45411, FLJ25304	12q13.12			"LAG1 longevity assurance homolog 5 (S. cerevisiae)", "LAG1 homolog, ceramide synthase 5"
HGNC:23826	CERS6	LASS6		2q24.3	BX393696		"LAG1 longevity assurance homolog 6 (S. cerevisiae)", "LAG1 homolog, ceramide synthase 6"
HGNC:44485	CERS6-AS1			2q24.3
HGNC:2205	CERT1	COL4A3BP	GPBP, STARD11, CERT	5q13.3	AF136450	"ceramide transporter", "StAR-related lipid transfer (START) domain containing 11"	"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein", "collagen type IV alpha 3 binding protein"
HGNC:1863	CES1		HMSE, CES2, HMSE1, SES1, CEH, CES1A1, CES1A2	16q12.2	BC012418	"human monocyte/macrophage serine esterase 1"	"carboxylesterase 1 (monocyte/macrophage serine esterase 1)"
HGNC:18546	CES1P1	CES4	PCE-3, CESR, CES1A3	16q12.2	AF106005		"carboxylesterase 4-like", "carboxylesterase 4, pseudogene"
HGNC:48928	CES1P2			16q12.2
HGNC:1864	CES2		CE-2, iCE, CES2A1	16q22.1	BC032095		"carboxylesterase 2 (intestine, liver)"
HGNC:1865	CES3		FLJ21736, ES31	16q22.1	AK025389	"esterase 31", "brain carboxylesterase BR3"	"carboxylesterase 3 (brain)"
HGNC:26741	CES4A	CES8	FLJ37464	16q22.1	AK094783		"carboxylesterase 8 (putative)"
HGNC:26459	CES5A	CES7	FLJ31547, CES4C1, CES5, CAUXIN	16q12.2	AK090997		"carboxylesterase 7"
HGNC:38516	CES5AP1			22q11.23
HGNC:1866	CETN1	CETN	CEN1	18p11.32	U03270		"centrin, EF-hand protein, 1"
HGNC:1867	CETN2	CALT	CEN2	Xq28	X72964		"centrin, EF-hand protein, 2"
HGNC:1868	CETN3		CEN3	5q14.3	Y12473	"CDC31 yeast homolog", "EF-hand superfamily member"	"centrin, EF-hand protein, 3 (CDC31 yeast homolog)", "centrin, EF-hand protein, 3"
HGNC:35450	CETN4P			4q27			"centrin EF-hand protein 4, pseudogene"
HGNC:1869	CETP		BPIFF	16q13	M30185	"BPI fold containing family F"	"cholesteryl ester transfer protein, plasma"
HGNC:1870	CF
HGNC:1871	CFAG
HGNC:29523	CFAP20	C16orf80	GTL3, fSAP23	16q21	BC005152	"functional spliceosome-associated protein 23", "flagellar associated protein 20 homolog (Chlamydomonas)"	"chromosome 16 open reading frame 80"
HGNC:24763	CFAP20DC	C3orf67	FLJ42117, FLJ42930	3p14.2	AK124920		"chromosome 3 open reading frame 67"
HGNC:41063	CFAP20DC-AS1	C3orf67-AS1		3p14.2	AK090895		"C3orf67 antisense RNA 1"
HGNC:55618	CFAP20DC-DT			3p14.2
HGNC:30540	CFAP36	CCDC104	MGC15407, BARTL1	2p16.1	BC010011		"coiled-coil domain containing 104"
HGNC:26684	CFAP43	C10orf79, WDR96	FLJ36006, bA373N18.2, FLJ22944	10q25.1	AL833836		"chromosome 10 open reading frame 79", "WD repeat domain 96"
HGNC:25631	CFAP44	WDR52	FLJ11142	3q13.2	AK002004		"WD repeat domain 52"
HGNC:41113	CFAP44-AS1	WDR52-AS1		3q13.2			"WDR52 antisense RNA 1 (non-protein coding)", "WDR52 antisense RNA 1"
HGNC:17229	CFAP45	CCDC19	NESG1	1q23.2	AF094758		"coiled-coil domain containing 19"
HGNC:25247	CFAP46	C10orf123, C10orf124, C10orf93, C10orf92, TTC40	DKFZp434A1721, bA288G11.4, bA288G11.5, bB137A17.2, FLJ25954, bB137A17.3	10q26.3	BC034223		"chromosome 10 open reading frame 123", "chromosome 10 open reading frame 124", "chromosome 10 open reading frame 93", "chromosome 10 open reading frame 92", "tetratricopeptide repeat domain 40"
HGNC:26708	CFAP47	CXorf59, CXorf22, CXorf30, CHDC2	FLJ36601, RP13-11B7.1, MGC34831	Xp21.1	AK093920		"chromosome X open reading frame 59", "chromosome X open reading frame 22", "chromosome X open reading frame 30", "calponin homology domain containing 2"
HGNC:16053	CFAP52	WDR16	WDRPUH, FLJ37528	17p13.1	AB065281	"WD40-repeat protein upregulated in HCC"	"WD repeat domain 16"
HGNC:26530	CFAP53	CCDC11	FLJ32743	18q21.1	BC030606		"coiled-coil domain containing 11"
HGNC:43919	CFAP53P1	CCDC11P1		5p13.1			"coiled-coil domain containing 11 pseudogene 1"
HGNC:26456	CFAP54	C12orf63, C12orf55	FLJ31514, FLJ44112	12q23.1	AK056076		"chromosome 12 open reading frame 63", "chromosome 12 open reading frame 55", "cilia and flagella associated 54"
HGNC:26485	CFAP57	WDR65	FLJ32000	1p34.2	AK056562		"WD repeat domain 65"
HGNC:26676	CFAP58	C10orf80, CCDC147	FLJ35908, bA554P13.1	10q25.1	BX641120		"chromosome 10 open reading frame 80", "coiled-coil domain containing 147"
HGNC:45243	CFAP58-DT	CCDC147-AS1, CFAP58-AS1	lncITPRIP-1	10q25.1	BI551201, BX093559, DB476363		"CCDC147 antisense RNA 1", "CCDC147 antisense RNA 1 (head to head)", "CFAP58 antisense RNA 1 (head to head)"
HGNC:15872	CFAP61	C20orf26	DKFZP434K156, dJ1002M8.3, CaM-IP3	20p11.23	AL117439	"hypothetical protein LOC26074"	"chromosome 20 open reading frame 26"
HGNC:40731	CFAP61-AS1			20p11.23
HGNC:25325	CFAP65	CCDC108	DKFZp434O0527, MGC35338	2q35	AL833882, AK127189		"coiled-coil domain containing 108"
HGNC:26107	CFAP69	C7orf63	FLJ21062, FAP69	7q21.13	AK024715, AY349356	"hypothetical protein FLJ21062", "flagellar protein 69 homolog (Chlamydomonas)"	"chromosome 7 open reading frame 63"
HGNC:30726	CFAP70	TTC18	FLJ25765	10q22.2	AF435959		"tetratricopeptide repeat domain 18"
HGNC:37100	CFAP73	CCDC42B	MIA2	12q24.13			"coiled-coil domain containing 42B"
HGNC:29368	CFAP74	C1orf222, KIAA1751	FLJ45476	1p36.33	AB051538		"chromosome 1 open reading frame 222", "KIAA1751"
HGNC:33776	CFAP77	C9orf171	FLJ46082	9q34.13	AK128819		"chromosome 9 open reading frame 171"
HGNC:24010	CFAP91	C3orf15, MAATS1	AAT1, AAT1alpha, SPATA26, CaM-IP2, AAT-1	3q13.33	AB063296	"AMY-1-associating protein expressed in testis 1", "MYCBP-binding protein", "spermatogenesis associated 26"	"chromosome 3 open reading frame 15", "MYCBP/AMY-1-associated, testis expressed 1", "MYCBP-associated, testis expressed 1", "MYCBP associated and testis expressed 1"
HGNC:29231	CFAP92	KIAA1257	FLJ43738, FAP92	3q21.3	AB033083		"KIAA1257"
HGNC:31422	CFAP95	C9orf135		9q21.12			"chromosome 9 open reading frame 135"
HGNC:48713	CFAP95-DT	C9orf135-AS1, C9orf135-DT		9q21.12			"C9orf135 antisense RNA 1 (head to head)", "C9orf135 divergent transcript"
HGNC:29276	CFAP97	KIAA1430	DKFZp434F1728, hmw	4q35.1	AB037851		"KIAA1430"
HGNC:37241	CFAP97D1	C17orf105		17q21.31			"chromosome 17 open reading frame 105"
HGNC:53789	CFAP97D2			13q34
HGNC:54528	CFAP97P1			1p34.3
HGNC:51180	CFAP99			4p16.3
HGNC:26842	CFAP100	CCDC37	FLJ40083, MIA1	3q21.3	AK097402		"coiled-coil domain containing 37"
HGNC:49641	CFAP100-DT	CCDC37-AS1, CCDC37-DT		3q21.3			"CCDC37 antisense RNA 1 (head to head)", "CCDC37 divergent transcript"
HGNC:28567	CFAP107	C1orf158	MGC35194	1p36.21	BX647383		"chromosome 1 open reading frame 158"
HGNC:28078	CFAP119	C16orf93, CCDC189	MGC104706	16p11.2	BC042548		"chromosome 16 open reading frame 93", "coiled-coil domain containing 189"
HGNC:32325	CFAP126	C1orf192	Flattop, Fltp	1q23.3			"chromosome 1 open reading frame 192"
HGNC:32305	CFAP141	C1orf189		1q21.3			"chromosome 1 open reading frame 189"
HGNC:27843	CFAP157	C9orf117		9q34.11	AK094948		"chromosome 9 open reading frame 117"
HGNC:26782	CFAP161	C15orf26	FLJ38615	15q25.1	AK095934		"chromosome 15 open reading frame 26"
HGNC:21405	CFAP206	C6orf165	FLJ25974, dJ382I10.1	6q15	BC035083		"chromosome 6 open reading frame 165"
HGNC:25064	CFAP210	C2orf77, CCDC173	LOC129881	2q31.1	BC015980, BC117445	"hypothetical LOC129881"	"chromosome 2 open reading frame 77", "coiled-coil domain containing 173"
HGNC:33720	CFAP221		FAP221, PCDP1	2q14.2		"flagellar associated protein 221 homolog (Chlamydomonas)", "primary ciliary dyskinesia 1 homolog (mouse)"
HGNC:28506	CFAP251	WDR66	MGC33630, CaM-IP4	12q24.31	AL833930		"WD repeat domain 66"
HGNC:32331	CFAP276	C1orf194		1p13.3			"chromosome 1 open reading frame 194"
HGNC:1301	CFAP298	C21orf48, C21orf59	FLJ20467, FBB18, CILD26, Kur, DNAAF16	21q22.11	AF282851	"kurly homolog (zebrafish)", "dynein axonemal assembly factor 16"	"chromosome 21 open reading frame 48", "chromosome 21 open reading frame 59"
HGNC:54636	CFAP298-TCP10L	LINC00846, C21orf77	FLJ10932	21q22.11			"long intergenic non-protein coding RNA 846", "chromosome 21 open reading frame 77"
HGNC:28554	CFAP299	C4orf22		4q21.21	BC034296		"chromosome 4 open reading frame 22"
